taxonID,latitude,longitude,date
67435,31.330891,-94.702748,2017-11-19
67435,33.7761908056,-83.3725524444,2017-10-02
67435,33.77673625,-83.3738579722,2017-09-30
67435,33.7778232222,-83.3724452778,2017-09-28
67435,33.7766741667,-83.3751850278,2017-09-21
67435,33.2958755493,-87.0940628052,2017-11-17
67435,29.6998696621,-95.8164440604,2017-11-18
67435,30.2364465235,-91.1742295678,2017-11-18
67435,29.0456507444,-95.4747104978,2017-11-18
67435,30.300295,-95.8045666667,2017-11-17
67435,30.8343691472,-89.4045544603,2017-11-17
67435,29.2335338459,-89.9966847902,2017-11-11
67435,26.0811033333,-98.1362816667,2017-11-16
67435,30.28554723,-93.3543877,2017-11-16
67435,30.9388145888,-95.2546361677,2017-11-16
67435,30.3572770163,-88.6773490906,2017-09-30
67435,29.9166392929,-84.3005070181,2017-10-10
67435,29.9327616667,-95.9148633333,2017-11-15
67435,29.7379610242,-95.7482957873,2017-11-12
67435,29.7375883881,-95.7482528683,2017-11-12
67435,30.0027035,-90.4414718,2017-10-24
67435,-11.523088,-46.054687,2017-11-13
67435,29.9957316459,-85.0015640259,2017-11-03
67435,31.330662,-94.702995,2017-11-13
67435,30.8208974,-96.9166159,2017-11-13
67435,21.37575,-99.781054,2017-11-12
67435,28.691045,-81.3851783333,2017-11-13
67435,32.625157,-96.958093,2017-11-12
67435,29.6691436887,-84.8659300804,2017-11-02
67435,31.008290576,-92.9864358902,2017-11-11
67435,30.224346535,-97.6568055153,2017-11-12
67435,29.7566128895,-95.3853245919,2017-11-11
67435,29.2546283333,-89.9569866667,2017-11-11
67435,29.254496824,-89.9566393253,2017-11-11
67435,33.9383149747,-81.037709713,2017-10-28
67435,31.330763,-94.703493,2017-11-09
67435,33.3034734393,-94.159782975,2017-11-09
67435,19.3098772876,-99.7126100145,2017-11-09
67435,32.5697701259,-84.2742347716,2017-10-30
67435,32.577518,-84.269842,2017-10-30
67435,30.3696600488,-91.106055826,2017-09-17
67435,28.3931783333,-81.4148783333,2017-11-02
67435,30.1310496,-95.652445,2017-11-06
67435,25.6169369796,-101.0860848427,2013-05-07
67435,33.0801160941,-97.1627242528,2017-11-05
67435,30.1588276736,-97.2468029498,2017-11-05
67435,29.636352,-82.370631,2017-11-03
67435,30.540384,-95.226696,2016-10-23
67435,33.7766901111,-83.3752154722,2017-08-28
67435,37.9235525,-75.3526915,2017-11-03
67435,15.7942357445,-96.0692596436,2017-11-02
67435,30.6562328339,-95.0061264038,2017-11-04
67435,32.4406656347,-96.935312748,2017-11-03
67435,30.6840607,-97.6398929,2017-11-03
67435,30.0231996132,-95.2944861353,2017-11-03
67435,32.4409010533,-96.9352483749,2017-11-01
67435,34.7458343506,-92.3332443237,2017-10-21
67435,29.9371333333,-95.3412133333,2017-11-02
67435,19.3674297446,-99.2134416103,2017-11-01
67435,35.3349543,-94.2971119,2017-11-01
67435,30.2498214454,-97.7597067695,2017-11-01
67435,19.3128251,-99.6981893,2017-11-01
67435,19.3128251,-99.6981893,2017-10-28
67435,30.3983327629,-97.9946963608,2017-10-23
67435,31.0647416667,-81.4196916667,2017-10-23
67435,35.3349543,-94.2971119,2017-10-30
67435,29.8971176256,-95.5342188042,2017-10-22
67435,29.613135,-94.5345383333,2017-10-27
67435,32.8392222289,-97.5858940321,2017-10-30
67435,30.0975371,-90.4920225,2013-10-23
67435,30.344546687,-87.6241421505,2017-10-26
67435,28.3029583333,-80.6830133333,2017-10-28
67435,29.7512383713,-82.6878464409,2017-10-28
67435,32.2084616667,-80.68042,2017-10-27
67435,29.5650765831,-95.4401992774,2017-10-27
67435,29.75784,-93.603308,2016-10-01
67435,35.3349543,-94.2971119,2017-10-26
67435,35.3349543,-94.2971119,2017-10-25
67435,34.2265375975,-77.877558879,2017-10-18
67435,31.2290906953,-84.47646847,2017-10-26
67435,30.189225,-93.2649533333,2017-10-25
67435,34.045699,-77.912823,2017-10-01
67435,29.771977,-81.258659,2010-12-29
67435,29.7567570643,-95.0771239528,2017-10-21
67435,33.2341997809,-81.4365202078,2017-10-16
67435,29.7549410793,-95.7087492943,2003-10-14
67435,33.3270696314,-86.892639688,2017-10-19
67435,26.0688109268,-98.1123733521,2013-10-24
67435,28.6319133333,-81.0318138333,2017-10-24
67435,30.8847103128,-89.2677270994,2017-10-23
67435,23.299,-106.443,2017-10-23
67435,31.0646833333,-81.4196777778,2017-10-23
67435,29.9258333333,-97.125555,2017-10-21
67435,34.1491188683,-79.834937117,2017-10-23
67435,35.3349543,-94.2971119,2017-10-23
67435,43.2747222222,-79.8966944444,2012-09-01
67435,32.1464210144,-80.7448938769,2017-10-22
67435,29.8316317,-82.0426015,2017-10-21
67435,30.863451,-86.83538,2017-10-20
67435,30.02733696,-95.49009683,2017-10-22
67435,25.658089625,-80.4195974024,2017-10-21
67435,33.7391209,-96.7522848,2017-10-21
67435,33.0684738159,-79.5169067383,2017-10-20
67435,33.065925,-79.5251083333,2017-10-21
67435,30.4125591001,-91.1753119277,2017-10-21
67435,4.6805859927,-74.4181165695,2017-10-15
